order_id,order_date,customer_type,gender,product_category,product_name,unit_price,quantity,tax_rate,total_price,payment_method,city,price_check,year,month,day,day_of_week,year_month,is_weekend,subtotal,tax_amount
1001,2024-01-15,会员,女,食品,有机牛奶,12.5,3,0.05,39.38,现金,北京,0.005000000000002558,2024,1,15,0,2024-01,0,37.5,1.8800000000000026
1002,2024-01-15,普通,男,饮料,可乐,3.5,6,0.05,22.05,支付宝,上海,0.0,2024,1,15,0,2024-01,0,21.0,1.0500000000000007
1003,2024-01-16,会员,女,日用品,洗发水,45.0,2,0.05,94.5,微信,广州,0.0,2024,1,16,1,2024-01,0,90.0,4.5
1004,2024-01-16,普通,男,食品,方便面,4.5,10,0.05,47.25,信用卡,深圳,0.0,2024,1,16,1,2024-01,0,45.0,2.25
1005,2024-01-17,会员,女,生鲜,苹果,8.8,5,0.05,46.2,支付宝,北京,0.0,2024,1,17,2,2024-01,0,44.0,2.200000000000003
1006,2024-01-17,普通,男,食品,薯片,6.5,4,0.05,27.3,现金,上海,0.0,2024,1,17,2,2024-01,0,26.0,1.3000000000000007
1007,2024-01-18,会员,男,饮料,橙汁,8.0,3,0.05,25.2,微信,广州,3.552713678800501e-15,2024,1,18,3,2024-01,0,24.0,1.1999999999999993
1008,2024-01-18,普通,女,日用品,牙膏,15.0,2,0.05,31.5,信用卡,深圳,0.0,2024,1,18,3,2024-01,0,30.0,1.5
1009,2024-01-19,会员,女,食品,饼干,5.5,8,0.05,46.2,支付宝,北京,0.0,2024,1,19,4,2024-01,0,44.0,2.200000000000003
1010,2024-01-19,普通,男,生鲜,香蕉,6.0,4,0.05,25.2,现金,上海,3.552713678800501e-15,2024,1,19,4,2024-01,0,24.0,1.1999999999999993
1011,2024-01-20,会员,男,饮料,矿泉水,2.0,24,0.05,50.4,微信,广州,7.105427357601002e-15,2024,1,20,5,2024-01,1,48.0,2.3999999999999986
1012,2024-01-20,普通,女,食品,巧克力,18.0,3,0.05,56.7,信用卡,深圳,0.0,2024,1,20,5,2024-01,1,54.0,2.700000000000003
1013,2024-01-21,会员,女,日用品,洗衣液,35.0,2,0.05,73.5,支付宝,北京,0.0,2024,1,21,6,2024-01,1,70.0,3.5
1014,2024-01-21,普通,男,生鲜,未知产品,28.0,2,0.05,58.8,现金,上海,7.105427357601002e-15,2024,1,21,6,2024-01,1,56.0,2.799999999999997
1015,2024-01-22,会员,男,食品,坚果,25.0,4,0.05,105.0,微信,广州,0.0,2024,1,22,0,2024-01,0,100.0,5.0
1016,2024-01-22,普通,女,饮料,雪碧,3.5,12,0.05,44.1,信用卡,深圳,0.0,2024,1,22,0,2024-01,0,42.0,2.1000000000000014
1017,2024-01-23,会员,女,日用品,沐浴露,38.0,2,0.05,79.8,支付宝,北京,0.0,2024,1,23,1,2024-01,0,76.0,3.799999999999997
1018,2024-01-23,普通,男,食品,面包,7.5,6,0.05,47.25,现金,上海,0.0,2024,1,23,1,2024-01,0,45.0,2.25
1019,2024-01-24,会员,男,生鲜,鸡蛋,15.0,3,0.05,47.25,微信,广州,0.0,2024,1,24,2,2024-01,0,45.0,2.25
1020,2024-01-24,普通,女,饮料,红茶,4.5,8,0.05,37.8,信用卡,深圳,7.105427357601002e-15,2024,1,24,2,2024-01,0,36.0,1.7999999999999972
1021,2024-01-25,会员,女,食品,酸奶,6.0,10,0.05,63.0,支付宝,北京,0.0,2024,1,25,3,2024-01,0,60.0,3.0
1022,2024-01-25,普通,男,日用品,毛巾,12.0,4,0.05,50.4,现金,上海,7.105427357601002e-15,2024,1,25,3,2024-01,0,48.0,2.3999999999999986
1023,2024-01-26,会员,男,生鲜,牛肉,68.0,2,0.05,142.8,微信,广州,0.0,2024,1,26,4,2024-01,0,136.0,6.800000000000011
1024,2024-01-26,普通,女,食品,火腿肠,3.5,15,0.05,55.13,信用卡,深圳,0.005000000000002558,2024,1,26,4,2024-01,0,52.5,2.6300000000000026
1025,2024-01-27,会员,女,饮料,果汁,10.0,5,0.05,52.5,支付宝,北京,0.0,2024,1,27,5,2024-01,1,50.0,2.5
1026,2024-01-27,普通,男,日用品,牙刷,8.0,6,0.05,50.4,现金,上海,7.105427357601002e-15,2024,1,27,5,2024-01,1,48.0,2.3999999999999986
1027,2024-01-28,会员,男,食品,麦片,22.0,3,0.05,69.3,微信,广州,0.0,2024,1,28,6,2024-01,1,66.0,3.299999999999997
1028,2024-01-28,普通,女,生鲜,草莓,35.0,2,0.05,73.5,信用卡,深圳,0.0,2024,1,28,6,2024-01,1,70.0,3.5
1029,2024-01-29,会员,女,饮料,咖啡,15.0,4,0.05,63.0,支付宝,北京,0.0,2024,1,29,0,2024-01,0,60.0,3.0
1030,2024-01-29,普通,男,食品,糖果,9.5,6,0.05,59.85,现金,上海,0.0,2024,1,29,0,2024-01,0,57.0,2.8500000000000014
1031,2024-01-30,会员,男,日用品,洗洁精,18.0,3,0.05,56.7,微信,广州,0.0,2024,1,30,1,2024-01,0,54.0,2.700000000000003
1032,2024-01-30,普通,女,生鲜,橙子,12.0,4,0.05,50.4,信用卡,深圳,7.105427357601002e-15,2024,1,30,1,2024-01,0,48.0,2.3999999999999986
1033,2024-02-01,会员,女,食品,蛋糕,28.0,2,0.05,58.8,支付宝,北京,7.105427357601002e-15,2024,2,1,3,2024-02,0,56.0,2.799999999999997
1034,2024-02-01,普通,男,饮料,绿茶,5.0,10,0.05,52.5,现金,上海,0.0,2024,2,1,3,2024-02,0,50.0,2.5
1035,2024-02-02,会员,男,日用品,纸巾,25.0,3,0.05,78.75,微信,广州,0.0,2024,2,2,4,2024-02,0,75.0,3.75
1036,2024-02-02,普通,女,食品,蜜饯,16.0,4,0.05,67.2,信用卡,深圳,0.0,2024,2,2,4,2024-02,0,64.0,3.200000000000003
1037,2024-02-03,会员,女,生鲜,葡萄,22.0,3,0.05,69.3,支付宝,北京,0.0,2024,2,3,5,2024-02,1,66.0,3.299999999999997
1038,2024-02-03,普通,男,日用品,香皂,10.0,5,0.05,52.5,现金,上海,0.0,2024,2,3,5,2024-02,1,50.0,2.5
1039,2024-02-04,会员,男,食品,豆奶,4.5,12,0.05,56.7,微信,广州,0.0,2024,2,4,6,2024-02,1,54.0,2.700000000000003
1040,2024-02-04,普通,女,饮料,奶茶,12.0,4,0.05,50.4,信用卡,深圳,7.105427357601002e-15,2024,2,4,6,2024-02,1,48.0,2.3999999999999986
1041,2024-02-05,会员,女,生鲜,西瓜,18.0,3,0.05,56.7,支付宝,北京,0.0,2024,2,5,0,2024-02,0,54.0,2.700000000000003
1042,2024-02-05,普通,男,食品,果冻,6.5,8,0.05,54.6,现金,上海,0.0,2024,2,5,0,2024-02,0,52.0,2.6000000000000014
1044,2024-02-06,普通,女,饮料,可乐,3.5,15,0.05,55.13,信用卡,深圳,0.005000000000002558,2024,2,6,1,2024-02,0,52.5,2.6300000000000026
1045,2024-02-07,会员,女,食品,薯片,6.5,10,0.05,68.25,支付宝,北京,0.0,2024,2,7,2,2024-02,0,65.0,3.25
1046,2024-02-07,普通,男,生鲜,鱼肉,32.0,2,0.05,67.2,现金,上海,0.0,2024,2,7,2,2024-02,0,64.0,3.200000000000003
1047,2024-02-08,会员,男,日用品,牙膏,15.0,4,0.05,63.0,微信,广州,0.0,2024,2,8,3,2024-02,0,60.0,3.0
1048,2024-02-08,普通,女,食品,方便面,4.5,15,0.05,70.88,信用卡,深圳,0.0049999999999954525,2024,2,8,3,2024-02,0,67.5,3.3799999999999955
1049,2024-02-09,会员,女,饮料,橙汁,8.0,6,0.05,50.4,支付宝,北京,7.105427357601002e-15,2024,2,9,4,2024-02,0,48.0,2.3999999999999986
1050,2024-02-09,普通,男,日用品,洗衣液,35.0,2,0.05,73.5,现金,上海,0.0,2024,2,9,4,2024-02,0,70.0,3.5
1051,2024-02-10,会员,男,食品,坚果,25.0,5,0.05,131.25,微信,广州,0.0,2024,2,10,5,2024-02,1,125.0,6.25
1052,2024-02-10,普通,女,生鲜,苹果,8.8,8,0.05,73.92,信用卡,深圳,1.4210854715202004e-14,2024,2,10,5,2024-02,1,70.4,3.519999999999996
1053,2024-02-11,会员,女,饮料,矿泉水,2.0,30,0.05,63.0,支付宝,北京,0.0,2024,2,11,6,2024-02,1,60.0,3.0
1054,2024-02-11,普通,男,食品,巧克力,18.0,4,0.05,75.6,现金,上海,1.4210854715202004e-14,2024,2,11,6,2024-02,1,72.0,3.5999999999999943
1055,2024-02-12,会员,男,日用品,沐浴露,38.0,2,0.05,79.8,微信,广州,0.0,2024,2,12,0,2024-02,0,76.0,3.799999999999997
1056,2024-02-12,普通,女,生鲜,香蕉,6.0,10,0.05,63.0,信用卡,深圳,0.0,2024,2,12,0,2024-02,0,60.0,3.0
1057,2024-02-13,会员,女,食品,饼干,5.5,15,0.05,86.63,支付宝,北京,0.0049999999999954525,2024,2,13,1,2024-02,0,82.5,4.1299999999999955
1058,2024-02-13,普通,男,饮料,雪碧,3.5,20,0.05,73.5,现金,上海,0.0,2024,2,13,1,2024-02,0,70.0,3.5
1059,2024-02-14,会员,男,日用品,毛巾,12.0,6,0.05,75.6,微信,广州,1.4210854715202004e-14,2024,2,14,2,2024-02,0,72.0,3.5999999999999943
1060,2024-02-14,普通,女,食品,面包,7.5,10,0.05,78.75,信用卡,深圳,0.0,2024,2,14,2,2024-02,0,75.0,3.75
1061,2024-05-23,普通,男,食品,方便面,5.29,14,0.05,77.76,信用卡,广州,0.0030000000000001137,2024,5,23,3,2024-05,0,74.06,3.700000000000003
1062,2024-10-18,会员,男,食品,面包,7.67,10,0.05,80.54,现金,深圳,0.0049999999999954525,2024,10,18,4,2024-10,0,76.7,3.8400000000000034
1063,2024-07-05,会员,男,生鲜,西瓜,19.64,5,0.05,103.11,现金,深圳,1.4210854715202004e-14,2024,7,5,4,2024-07,0,98.2,4.909999999999997
1064,2025-02-02,会员,女,日用品,洗发水,51.6,2,0.05,108.36,现金,北京,1.4210854715202004e-14,2025,2,2,6,2025-02,1,103.2,5.159999999999997
1065,2025-03-03,会员,男,食品,蛋糕,30.63,8,0.05,257.29,信用卡,北京,0.0020000000000095497,2025,3,3,0,2025-03,0,245.04,12.250000000000028
1066,2024-09-01,会员,女,日用品,洗发水,50.92,1,0.05,53.47,信用卡,上海,0.003999999999997783,2024,9,1,6,2024-09,1,50.92,2.549999999999997
1067,2024-07-04,会员,男,日用品,牙膏,15.25,5,0.05,80.06,微信,深圳,0.0024999999999977263,2024,7,4,3,2024-07,0,76.25,3.8100000000000023
